Contig	FOUR	THOUS
ruditapes_c13692	1	3
ruditapes_c13693	1	1
ruditapes_c13694	0	1
ruditapes_c13695	0	0
ruditapes_c13697	0	2
ruditapes_c13698	3	5
ruditapes_c13699	0	0
ruditapes_c13703	0	1
ruditapes_c13704	1	1
ruditapes_c13707	0	0
ruditapes_c1371	0	0
ruditapes_c13710	6	25
ruditapes_c13711	9	16
ruditapes_c13713	2	3
ruditapes_c13714	1	1
ruditapes_c13715	1	0
ruditapes_c13718	0	0
ruditapes_c13720	1	1
ruditapes_c13724	0	0
ruditapes_c13726	2	5
ruditapes_c13727	4	6
ruditapes_c13728	1	1
ruditapes_c1373	0	0
ruditapes_c13730	1	2
ruditapes_c13731	3	4
ruditapes_c13732	0	0
ruditapes_c13733	1	1
ruditapes_c13734	1	1
ruditapes_c13735	0	0
ruditapes_c13736	3	2
ruditapes_c13737	0	2
ruditapes_c13738	0	0
ruditapes_c13739	0	0
ruditapes_c1374	1	2
ruditapes_c13742	77	208
ruditapes_c13744	0	0
ruditapes_c13747	0	0
ruditapes_c13751	1	0
ruditapes_c13752	0	0
ruditapes_c13753	3	4
ruditapes_c13754	7	9
ruditapes_c13755	2	5
ruditapes_c13756	1	1
ruditapes_c13757	5	9
ruditapes_c13758	11	17
ruditapes_c13759	0	0
ruditapes_c1376	0	0
ruditapes_c13760	4	5
ruditapes_c13761	0	2
ruditapes_c13762	3	1
ruditapes_c13763	10	13
ruditapes_c13764	0	1
ruditapes_c13765	18	49
ruditapes_c13766	0	0
ruditapes_c13767	0	0
ruditapes_c13768	0	0
ruditapes_c13769	3	9
ruditapes_c13770	2	2
ruditapes_c13771	4	41
ruditapes_c13772	0	0
ruditapes_c13774	6	3
ruditapes_c13775	3	4
ruditapes_c13776	3	8
ruditapes_c13777	24	37
ruditapes_c13778	0	0
ruditapes_c13779	1	3
ruditapes_c13780	1	2
ruditapes_c13781	1	1
ruditapes_c13782	41	111
ruditapes_c13785	6	17
ruditapes_c13786	14	18
ruditapes_c13787	1	5
ruditapes_c13788	0	0
ruditapes_c13789	0	0
ruditapes_c13790	0	0
ruditapes_c13792	1	0
ruditapes_c13795	4	4
ruditapes_c13796	1	0
ruditapes_c13799	0	0
ruditapes_c1380	2	2
ruditapes_c13800	1	3
ruditapes_c13801	2	5
ruditapes_c13803	0	0
ruditapes_c13805	0	0
ruditapes_c13807	3	2
ruditapes_c13808	0	2
ruditapes_c13810	2	1
ruditapes_c13811	0	0
ruditapes_c13812	12	11
ruditapes_c13814	0	1
ruditapes_c13815	4	5
ruditapes_c13816	1	2
ruditapes_c13817	0	0
ruditapes_c13818	0	0
ruditapes_c13819	0	1
ruditapes_c1382	0	0
ruditapes_c13820	11	13
ruditapes_c13821	1	1
ruditapes_c13822	1	0
ruditapes_c13823	4	4
ruditapes_c13824	1	5
ruditapes_c13825	1	1
ruditapes_c13826	0	0
ruditapes_c13828	28	155
ruditapes_c13829	1	0
ruditapes_c1383	2	5
ruditapes_c13830	0	0
ruditapes_c13831	0	0
ruditapes_c13833	1	0
ruditapes_c13835	1	0
ruditapes_c13836	7	17
ruditapes_c13837	0	0
ruditapes_c13838	0	0
ruditapes_c13839	0	0
ruditapes_c13840	0	0
ruditapes_c13841	0	0
ruditapes_c13842	1	3
ruditapes_c13843	1	5
ruditapes_c13845	0	1
ruditapes_c13846	0	0
ruditapes_c13848	4	3
ruditapes_c13849	0	0
ruditapes_c1385	1	0
ruditapes_c13850	2	2
ruditapes_c13851	0	0
ruditapes_c13852	0	1
ruditapes_c13854	0	0
ruditapes_c13855	0	1
ruditapes_c13856	14	17
ruditapes_c13857	0	0
ruditapes_c13859	0	0
ruditapes_c13861	0	0
ruditapes_c13863	0	1
ruditapes_c13864	1	0
ruditapes_c13865	0	0
ruditapes_c13866	1	2
ruditapes_c13867	1	1
ruditapes_c13868	0	0
ruditapes_c1387	9	18
ruditapes_c13870	0	1
ruditapes_c13871	7	13
ruditapes_c13872	0	0
ruditapes_c13873	0	0
ruditapes_c13874	0	0
ruditapes_c13875	0	0
ruditapes_c13876	4	14
ruditapes_c13877	1	2
ruditapes_c13878	1	2
ruditapes_c13879	15	12
ruditapes_c13880	0	1
ruditapes_c13882	0	0
ruditapes_c13884	5	18
ruditapes_c13885	0	0
ruditapes_c13887	0	0
ruditapes_c13888	6	31
ruditapes_c13889	1	0
ruditapes_c13890	0	0
ruditapes_c13891	0	0
ruditapes_c13892	1	2
ruditapes_c13893	2	4
ruditapes_c13894	1	1
ruditapes_c13895	0	0
ruditapes_c13896	3	4
ruditapes_c13898	0	0
ruditapes_c13900	1	3
ruditapes_c13902	0	0
ruditapes_c13903	0	0
ruditapes_c13904	11	15
ruditapes_c13905	3	22
ruditapes_c13906	6	12
ruditapes_c13907	1	3
ruditapes_c13908	1	0
ruditapes_c13909	0	0
ruditapes_c1391	28	35
ruditapes_c13910	1	0
ruditapes_c13911	5	7
ruditapes_c13913	0	0
ruditapes_c13914	7	13
ruditapes_c13915	140	297
ruditapes_c13916	4	5
ruditapes_c13917	3	7
ruditapes_c13919	0	0
ruditapes_c1392	2	4
ruditapes_c13920	0	0
ruditapes_c13921	0	0
ruditapes_c13922	0	0
ruditapes_c13923	9	26
ruditapes_c13924	0	0
ruditapes_c13925	2	2
ruditapes_c13926	1	1
ruditapes_c13928	1	3
ruditapes_c13929	1	3
ruditapes_c13930	4	4
ruditapes_c13931	1	1
ruditapes_c13932	0	0
ruditapes_c13933	0	0
ruditapes_c13934	0	0
ruditapes_c13935	0	0
ruditapes_c13936	5	6
ruditapes_c13937	1	2
ruditapes_c13938	0	0
ruditapes_c13939	5	5
ruditapes_c13940	0	0
ruditapes_c13941	8	17
ruditapes_c13942	0	0
ruditapes_c13945	1	3
ruditapes_c13946	2	4
ruditapes_c13948	0	2
ruditapes_c13949	0	0
ruditapes_c1395	16	14
ruditapes_c13951	0	0
ruditapes_c13952	0	0
ruditapes_c13953	0	0
ruditapes_c13955	1	4
ruditapes_c13957	3	6
ruditapes_c13958	0	1
ruditapes_c13959	8	6
ruditapes_c13960	1	3
ruditapes_c13962	0	0
ruditapes_c13965	2	5
ruditapes_c13966	5	14
ruditapes_c13967	1	1
ruditapes_c13968	0	0
ruditapes_c1397	2	16
ruditapes_c13970	9	23
ruditapes_c13972	0	0
ruditapes_c13974	0	0
ruditapes_c13975	1	1
ruditapes_c13976	0	0
ruditapes_c13977	3	8
ruditapes_c13980	0	1
ruditapes_c13981	14	27
ruditapes_c13982	2	2
ruditapes_c13984	0	0
ruditapes_c13986	2	3
ruditapes_c13987	0	0
ruditapes_c13988	1	0
ruditapes_c13989	0	0
ruditapes_c13990	9	15
ruditapes_c13991	0	0
ruditapes_c13992	0	0
ruditapes_c13993	0	0
ruditapes_c13994	4	3
ruditapes_c13995	1	1
ruditapes_c13996	1	2
ruditapes_c13997	0	0
ruditapes_c13998	0	0
ruditapes_c13999	1	2
ruditapes_c14	199	381
ruditapes_c140	14	17
ruditapes_c14000	1	2
ruditapes_c14001	0	0
ruditapes_c14002	6	6
ruditapes_c14003	0	0
ruditapes_c14004	0	0
ruditapes_c14005	1	0
ruditapes_c14006	1	3
ruditapes_c14008	1	0
ruditapes_c14009	1	1
ruditapes_c1401	0	0
ruditapes_c14010	1	0
ruditapes_c14013	3	13
ruditapes_c14015	8	27
ruditapes_c14016	0	2
ruditapes_c14017	14	44
ruditapes_c14019	0	0
ruditapes_c14021	0	1
ruditapes_c14022	2	5
ruditapes_c14023	1	1
ruditapes_c14024	0	1
ruditapes_c14025	0	1
ruditapes_c14026	2	1
ruditapes_c14027	0	1
ruditapes_c14029	20	13
ruditapes_c1403	8	23
ruditapes_c14031	0	0
ruditapes_c14032	2	2
ruditapes_c14033	0	1
ruditapes_c14034	0	0
ruditapes_c14035	15	12
ruditapes_c14036	0	0
ruditapes_c14037	0	0
ruditapes_c14038	9	49
ruditapes_c14039	17	22
ruditapes_c1404	0	0
ruditapes_c14040	0	0
ruditapes_c14042	1	3
ruditapes_c14043	3	3
ruditapes_c14044	1	2
ruditapes_c14045	3	8
ruditapes_c14046	2	3
ruditapes_c14047	1	4
ruditapes_c14048	3	5
ruditapes_c14049	1	12
ruditapes_c1405	1	1
ruditapes_c14050	5	8
ruditapes_c14051	0	0
ruditapes_c14052	7	3
ruditapes_c14053	0	0
ruditapes_c14054	0	0
ruditapes_c14055	0	0
ruditapes_c14056	3	7
ruditapes_c14057	2	13
ruditapes_c14059	9	23
ruditapes_c14060	0	1
ruditapes_c14062	2	4
ruditapes_c14063	17	55
ruditapes_c14064	1	1
ruditapes_c14065	0	0
ruditapes_c14067	0	1
ruditapes_c14068	0	0
ruditapes_c1407	5	9
ruditapes_c14070	0	0
ruditapes_c14071	7	24
ruditapes_c14072	0	0
ruditapes_c14073	0	0
ruditapes_c14074	0	0
ruditapes_c14077	0	0
ruditapes_c14078	0	0
ruditapes_c14079	15	12
ruditapes_c1408	0	2
ruditapes_c14080	3	5
ruditapes_c14081	1	1
ruditapes_c14082	1	0
ruditapes_c14083	1	1
ruditapes_c14084	0	0
ruditapes_c14085	0	0
ruditapes_c14086	0	0
ruditapes_c14088	2	2
ruditapes_c14089	7	3
ruditapes_c1409	3	6
ruditapes_c14090	0	0
ruditapes_c14092	0	0
ruditapes_c14093	14	51
ruditapes_c14094	14	23
ruditapes_c14095	19	28
ruditapes_c14096	1	1
ruditapes_c14098	6	9
ruditapes_c1410	0	0
ruditapes_c14100	0	0
ruditapes_c14101	3	5
ruditapes_c14103	0	0
ruditapes_c14104	5	13
ruditapes_c14105	0	0
ruditapes_c14106	1	1
ruditapes_c14107	5	15
ruditapes_c14108	6	7
ruditapes_c14109	0	1
ruditapes_c14110	4	1
ruditapes_c14112	4	5
ruditapes_c14113	5	17
ruditapes_c14114	1	0
ruditapes_c14115	3	5
ruditapes_c14116	5	15
ruditapes_c14117	1	2
ruditapes_c14118	0	0
ruditapes_c14120	1	6
ruditapes_c14121	0	1
ruditapes_c14122	19	48
ruditapes_c14123	0	2
ruditapes_c14125	11	11
ruditapes_c14128	0	0
ruditapes_c14129	16	22
ruditapes_c14131	0	1
ruditapes_c14132	4	9
ruditapes_c14133	6	9
ruditapes_c14134	12	9
ruditapes_c14136	18	28
ruditapes_c14137	2	2
ruditapes_c14138	0	0
ruditapes_c14139	1	0
ruditapes_c14141	3	5
ruditapes_c14142	42	67
ruditapes_c14143	9	10
ruditapes_c14144	3	4
ruditapes_c14146	7	17
ruditapes_c14147	1	0
ruditapes_c14148	0	0
ruditapes_c14149	0	1
ruditapes_c14150	0	1
ruditapes_c14151	0	0
ruditapes_c14153	3	3
ruditapes_c14154	6	6
ruditapes_c14156	3	9
ruditapes_c14158	63	41
ruditapes_c14160	0	0
ruditapes_c14161	3	2
ruditapes_c14162	1	1
ruditapes_c14163	0	0
ruditapes_c14164	1	2
ruditapes_c14166	0	0
ruditapes_c14167	6	9
ruditapes_c14168	1	0
ruditapes_c14169	1	0
ruditapes_c1417	66	86
ruditapes_c14170	371	293
ruditapes_c14171	0	1
ruditapes_c14174	9	5
ruditapes_c14176	1	1
ruditapes_c14177	0	1
ruditapes_c14178	5	15
ruditapes_c14180	0	0
ruditapes_c14181	24	64
ruditapes_c14182	1	8
ruditapes_c14183	0	0
ruditapes_c14184	9	8
ruditapes_c14185	3	7
ruditapes_c14186	7	11
ruditapes_c14187	0	0
ruditapes_c14189	0	0
ruditapes_c1419	2	2
ruditapes_c14190	1	1
ruditapes_c14192	0	0
ruditapes_c14193	0	0
ruditapes_c14194	0	0
ruditapes_c14195	2	5
ruditapes_c14196	0	0
ruditapes_c14197	1	1
ruditapes_c14198	0	0
ruditapes_c14199	0	0
ruditapes_c142	0	0
ruditapes_c14200	5	6
ruditapes_c14201	0	0
ruditapes_c14202	12	36
ruditapes_c14203	3	13
ruditapes_c14204	3	4
ruditapes_c14205	5	7
ruditapes_c14207	19	30
ruditapes_c14208	4	13
ruditapes_c1421	0	2
ruditapes_c14211	3	7
ruditapes_c14212	0	1
ruditapes_c14213	1	6
ruditapes_c14214	0	0
ruditapes_c14215	0	1
ruditapes_c14216	2	3
ruditapes_c14217	4	5
ruditapes_c14218	0	0
ruditapes_c14221	8	10
ruditapes_c14223	1	2
ruditapes_c14224	0	1
ruditapes_c14225	0	0
ruditapes_c14226	5	9
ruditapes_c14227	0	2
ruditapes_c14229	0	0
ruditapes_c14230	0	0
ruditapes_c14231	0	0
ruditapes_c14233	4	3
ruditapes_c14234	46	224
ruditapes_c14235	0	0
ruditapes_c14236	2	4
ruditapes_c14237	0	0
ruditapes_c14238	3	4
ruditapes_c14239	1	1
ruditapes_c1424	2	2
ruditapes_c14240	0	0
ruditapes_c14241	2	5
ruditapes_c14245	2	29
ruditapes_c14246	33	35
ruditapes_c14247	8	10
ruditapes_c14248	1	1
ruditapes_c14249	2	5
ruditapes_c14250	7	5
ruditapes_c14251	7	5
ruditapes_c14252	0	0
ruditapes_c14253	1	1
ruditapes_c14254	4	12
ruditapes_c14255	0	0
ruditapes_c14256	0	0
ruditapes_c14258	1	1
ruditapes_c14259	9	8
ruditapes_c14260	8	11
ruditapes_c14261	0	0
ruditapes_c14262	6	16
ruditapes_c14264	3	5
ruditapes_c14265	1	1
ruditapes_c14266	0	0
ruditapes_c14268	0	0
ruditapes_c14269	0	0
ruditapes_c14270	0	0
ruditapes_c14271	3	3
ruditapes_c14272	0	0
ruditapes_c14273	0	0
ruditapes_c14274	0	0
ruditapes_c14275	0	0
ruditapes_c14276	4	6
ruditapes_c14277	6	10
ruditapes_c14278	3	3
ruditapes_c14279	0	1
ruditapes_c14280	0	1
ruditapes_c14282	0	0
ruditapes_c14284	10	8
ruditapes_c14285	0	0
ruditapes_c14286	2	3
ruditapes_c14287	0	3
ruditapes_c14288	3	2
ruditapes_c14289	1	2
ruditapes_c14290	0	0
ruditapes_c14291	3	2
ruditapes_c14292	0	0
ruditapes_c14293	2	2
ruditapes_c14294	0	0
ruditapes_c14295	0	0
ruditapes_c14298	0	1
ruditapes_c14299	0	0
ruditapes_c1430	10	15
ruditapes_c14300	1	2
ruditapes_c14304	1	1
ruditapes_c14305	0	0
ruditapes_c14306	0	0
ruditapes_c14307	8	11
ruditapes_c14308	0	2
ruditapes_c14309	0	0
ruditapes_c1431	2	2
ruditapes_c14310	0	0
ruditapes_c14311	15	21
ruditapes_c14312	1	2
ruditapes_c14315	5	14
ruditapes_c14316	3	8
ruditapes_c14317	0	0
ruditapes_c14318	0	0
ruditapes_c14319	3	11
ruditapes_c1432	0	1
ruditapes_c14320	0	0
ruditapes_c14321	0	1
ruditapes_c14322	5	7
ruditapes_c14323	16	20
ruditapes_c14324	7	15
ruditapes_c14325	1	3
ruditapes_c14329	0	2
ruditapes_c1433	17	21
ruditapes_c14330	4	7
ruditapes_c14332	0	0
ruditapes_c14333	0	0
ruditapes_c14334	4	7
ruditapes_c14335	5	4
ruditapes_c14337	3	8
ruditapes_c14339	0	0
ruditapes_c1434	0	0
ruditapes_c14340	1	1
ruditapes_c14341	2	5
ruditapes_c14343	0	0
ruditapes_c14344	11	873
ruditapes_c14345	0	0
ruditapes_c14346	0	0
ruditapes_c14348	3	3
ruditapes_c14349	0	0
ruditapes_c14350	3	6
ruditapes_c14351	2	6
ruditapes_c14352	0	0
ruditapes_c14355	3	1
ruditapes_c14356	2	6
ruditapes_c14357	0	0
ruditapes_c14358	2	10
ruditapes_c14359	0	0
ruditapes_c1436	7	22
ruditapes_c14360	3	6
ruditapes_c14362	3	8
ruditapes_c14363	0	1
ruditapes_c14365	2	4
ruditapes_c14366	4	17
ruditapes_c14367	0	0
ruditapes_c14368	10	10
ruditapes_c14369	4	11
ruditapes_c14370	0	1
ruditapes_c14371	1	0
ruditapes_c14373	1	3
ruditapes_c14374	1	1
ruditapes_c14377	19	67
ruditapes_c14378	0	0
ruditapes_c14379	0	0
ruditapes_c1438	0	0
ruditapes_c14380	3	9
ruditapes_c14381	3	3
ruditapes_c14382	1	1
ruditapes_c14384	0	0
ruditapes_c14385	1	2
ruditapes_c14386	1	5
ruditapes_c14387	0	0
ruditapes_c14388	3	10
ruditapes_c14389	0	1
ruditapes_c14392	2	4
ruditapes_c14393	0	0
ruditapes_c14395	2	1
ruditapes_c14396	0	1
ruditapes_c14397	0	0
ruditapes_c14398	8	18
ruditapes_c1440	15	20
ruditapes_c14400	1	2
ruditapes_c14401	2	2
ruditapes_c14402	5	10
ruditapes_c14403	0	0
ruditapes_c14404	1	2
ruditapes_c14406	0	1
ruditapes_c14407	1	2
ruditapes_c14409	10	8
ruditapes_c14411	0	1
ruditapes_c14414	0	0
ruditapes_c14416	0	0
ruditapes_c14417	0	1
ruditapes_c14418	0	0
ruditapes_c14419	5	8
ruditapes_c14420	0	1
ruditapes_c14421	18	10
ruditapes_c14422	9	12
ruditapes_c14423	0	0
ruditapes_c14424	0	1
ruditapes_c14425	0	1
ruditapes_c14427	5	19
ruditapes_c14428	0	0
ruditapes_c14429	1	0
ruditapes_c14430	0	0
ruditapes_c14431	0	0
ruditapes_c14432	0	0
ruditapes_c14433	1	6
ruditapes_c14434	0	0
ruditapes_c14436	1	2
ruditapes_c14437	0	0
ruditapes_c14438	1	0
ruditapes_c14439	0	1
ruditapes_c14440	3	4
ruditapes_c14442	0	0
ruditapes_c14443	5	9
ruditapes_c14445	3	3
ruditapes_c14446	0	0
ruditapes_c14447	0	1
ruditapes_c14448	0	0
ruditapes_c14449	0	0
ruditapes_c14450	0	4
ruditapes_c14451	0	0
ruditapes_c14452	10	8
ruditapes_c14453	5	4
ruditapes_c14454	0	2
ruditapes_c14455	0	0
ruditapes_c14457	0	0
ruditapes_c14458	1	1
ruditapes_c14459	3	2
ruditapes_c1446	1	1
ruditapes_c14460	0	0
ruditapes_c14461	0	0
ruditapes_c14464	2	3
ruditapes_c14465	0	0
ruditapes_c14467	1	0
ruditapes_c14468	11	10
ruditapes_c14469	0	2
ruditapes_c14470	7	10
ruditapes_c14471	0	2
ruditapes_c14473	5	10
ruditapes_c14474	1	0
ruditapes_c14475	0	0
ruditapes_c14476	7	15
ruditapes_c14477	1	1
ruditapes_c14478	0	0
ruditapes_c14479	0	0
ruditapes_c14480	3	4
ruditapes_c14481	2	2
ruditapes_c14483	0	0
ruditapes_c14484	0	0
ruditapes_c14486	0	0
ruditapes_c14488	5	10
ruditapes_c14489	2	3
ruditapes_c14490	3	3
ruditapes_c14491	1	2
ruditapes_c14493	24	25
ruditapes_c14494	1	2
ruditapes_c14495	2	3
ruditapes_c14498	0	1
ruditapes_c14499	18	69
ruditapes_c145	77	111
ruditapes_c14500	0	0
ruditapes_c14501	0	0
ruditapes_c14503	4	8
ruditapes_c14504	2	2
ruditapes_c14505	17	61
ruditapes_c14506	2	5
ruditapes_c14507	0	0
ruditapes_c14508	3	6
ruditapes_c14509	0	0
ruditapes_c1451	25	73
ruditapes_c14513	4	3
ruditapes_c14514	3	3
ruditapes_c14516	2	2
ruditapes_c14518	1	2
ruditapes_c14519	14	47
ruditapes_c1452	50	46
ruditapes_c14521	1	0
ruditapes_c14522	29	59
ruditapes_c14523	0	0
ruditapes_c14524	15	27
ruditapes_c14525	0	1
ruditapes_c14526	2	4
ruditapes_c14527	0	0
ruditapes_c14529	0	0
ruditapes_c14530	1	4
ruditapes_c14531	0	0
ruditapes_c14532	4	6
ruditapes_c14533	27	58
ruditapes_c14534	0	0
ruditapes_c14535	0	0
ruditapes_c14539	0	0
ruditapes_c1454	33	44
ruditapes_c14540	2	3
ruditapes_c14541	0	1
ruditapes_c14542	30	50
ruditapes_c14543	0	1
ruditapes_c14544	0	0
ruditapes_c14545	0	0
ruditapes_c14548	0	0
ruditapes_c14549	0	0
ruditapes_c1455	1	0
ruditapes_c14551	2	3
ruditapes_c14552	0	0
ruditapes_c14553	7	10
ruditapes_c14554	0	0
ruditapes_c14555	5	17
ruditapes_c14556	0	1
ruditapes_c14557	0	0
ruditapes_c14558	3	5
ruditapes_c14559	0	0
ruditapes_c14560	0	0
ruditapes_c14561	1	0
ruditapes_c14562	0	0
ruditapes_c14563	0	1
ruditapes_c14564	0	1
ruditapes_c14565	1	0
ruditapes_c14567	2	3
ruditapes_c14568	0	0
ruditapes_c14571	0	0
ruditapes_c14573	0	0
ruditapes_c14575	1	1
ruditapes_c14576	12	18
ruditapes_c14577	1	1
ruditapes_c14578	4	2
ruditapes_c14579	28	18
ruditapes_c1458	0	0
ruditapes_c14582	26	53
ruditapes_c14583	1	2
ruditapes_c14584	0	0
ruditapes_c14585	0	0
ruditapes_c14586	4	28
ruditapes_c14587	0	1
ruditapes_c14589	2	5
ruditapes_c1459	13	21
ruditapes_c14590	2	3
ruditapes_c14591	19	35
ruditapes_c14592	0	0
ruditapes_c14593	1	1
ruditapes_c14594	0	0
ruditapes_c14595	1	0
ruditapes_c14596	2	7
ruditapes_c14597	0	0
ruditapes_c14598	2	4
ruditapes_c146	2	2
ruditapes_c1460	6	10
ruditapes_c14600	1	5
ruditapes_c14601	0	1
ruditapes_c14602	0	0
ruditapes_c14603	0	1
ruditapes_c14604	5	16
ruditapes_c14606	1	4
ruditapes_c14607	0	1
ruditapes_c14608	0	2
ruditapes_c14609	0	0
ruditapes_c1461	156	479
ruditapes_c14610	0	0
ruditapes_c14611	0	0
ruditapes_c14612	1	0
ruditapes_c14613	0	0
ruditapes_c14615	4	18
ruditapes_c14616	2	1
ruditapes_c14617	15	11
ruditapes_c14618	0	0
ruditapes_c14619	0	1
ruditapes_c14620	2	1
ruditapes_c14621	1	1
ruditapes_c14624	0	0
ruditapes_c14625	1	1
ruditapes_c14626	7	22
ruditapes_c14627	0	1
ruditapes_c14628	0	0
ruditapes_c14629	1	1
ruditapes_c14631	7	27
ruditapes_c14632	1	3
ruditapes_c14633	0	0
ruditapes_c14635	0	0
ruditapes_c14636	0	0
ruditapes_c14638	0	0
ruditapes_c14639	0	1
ruditapes_c14640	3	2
ruditapes_c14641	0	0
ruditapes_c14642	0	0
ruditapes_c14643	2	1
ruditapes_c14644	1	0
ruditapes_c14645	4	5
ruditapes_c14646	25	64
ruditapes_c14648	0	0
ruditapes_c14649	4	8
ruditapes_c14651	1	4
ruditapes_c14652	0	0
ruditapes_c14653	1	2
ruditapes_c14655	2	4
ruditapes_c14656	0	0
ruditapes_c14657	3	4
ruditapes_c14659	8	26
ruditapes_c1466	6	4
ruditapes_c14660	0	0
ruditapes_c14661	1	0
ruditapes_c14662	0	0
ruditapes_c14663	0	0
ruditapes_c14664	6	16
ruditapes_c14665	1	2
ruditapes_c14666	2	2
ruditapes_c14667	3	3
ruditapes_c14668	1	2
ruditapes_c14669	3	7
ruditapes_c14670	0	0
ruditapes_c14671	6	11
ruditapes_c14672	0	0
ruditapes_c14673	3	8
ruditapes_c14674	3	3
ruditapes_c14675	1	1
ruditapes_c14676	0	0
ruditapes_c14677	7	8
ruditapes_c14678	0	1
ruditapes_c14679	3	6
ruditapes_c14681	7	14
ruditapes_c14683	11	17
ruditapes_c14684	0	0
ruditapes_c14685	0	0
ruditapes_c14686	1	3
ruditapes_c14687	4	7
ruditapes_c14688	1	1
ruditapes_c14689	0	0
ruditapes_c1469	2	4
ruditapes_c14690	0	0
ruditapes_c14691	0	0
ruditapes_c14693	0	0
ruditapes_c14695	2	2
ruditapes_c14697	3	11
ruditapes_c14698	1	1
ruditapes_c14699	10	17
ruditapes_c147	0	0
ruditapes_c14700	0	0
ruditapes_c14701	0	0
ruditapes_c14702	2	2
ruditapes_c14703	0	0
ruditapes_c14704	1	2
ruditapes_c14705	6	10
ruditapes_c14706	0	0
ruditapes_c14707	0	0
ruditapes_c14708	3	6
ruditapes_c14710	1	1
ruditapes_c14712	0	0
ruditapes_c14713	0	0
ruditapes_c14714	0	0
ruditapes_c14715	24	81
ruditapes_c14717	26	45
ruditapes_c14720	0	0
ruditapes_c14721	7	13
ruditapes_c14722	0	2
ruditapes_c14723	0	1
ruditapes_c14724	1	0
ruditapes_c14725	27	33
ruditapes_c14726	0	0
ruditapes_c14727	0	0
ruditapes_c1473	0	0
ruditapes_c14730	2	5
ruditapes_c14731	1	2
ruditapes_c14732	13	12
ruditapes_c14733	1	2
ruditapes_c14734	0	0
ruditapes_c14735	8	13
ruditapes_c14736	0	1
ruditapes_c14737	3	1
ruditapes_c14738	0	0
ruditapes_c14739	0	0
ruditapes_c1474	3	21
ruditapes_c14740	0	0
ruditapes_c14741	12	12
ruditapes_c14742	3	6
ruditapes_c14744	1	1
ruditapes_c14745	0	0
ruditapes_c14746	3	5
ruditapes_c14747	0	0
ruditapes_c14750	0	0
ruditapes_c14751	0	1
ruditapes_c14752	6	35
ruditapes_c14753	0	0
ruditapes_c14754	13	10
ruditapes_c14755	0	0
ruditapes_c14756	0	0
ruditapes_c1476	0	0
ruditapes_c14760	1	1
ruditapes_c14761	82	215
ruditapes_c14762	0	0
ruditapes_c14763	0	0
ruditapes_c14765	0	0
ruditapes_c14766	0	0
ruditapes_c14767	5	8
ruditapes_c14768	0	0
ruditapes_c14769	10	6
ruditapes_c14770	0	0
ruditapes_c14771	0	1
ruditapes_c14773	1	4
ruditapes_c14774	12	18
ruditapes_c14777	2	3
ruditapes_c14778	2	3
ruditapes_c14780	0	0
ruditapes_c14781	0	1
ruditapes_c14782	0	0
ruditapes_c14785	0	0
ruditapes_c14786	2	3
ruditapes_c14787	0	1
ruditapes_c14788	0	0
ruditapes_c14789	0	0
ruditapes_c14791	12	11
ruditapes_c14792	0	0
ruditapes_c14793	0	0
ruditapes_c14794	1	3
ruditapes_c14796	9	3
ruditapes_c14798	0	0
ruditapes_c148	0	0
ruditapes_c14801	0	0
ruditapes_c14803	1	2
ruditapes_c14804	1	2
ruditapes_c14805	0	0
ruditapes_c14806	1	3
ruditapes_c14807	62	77
ruditapes_c14810	1	1
ruditapes_c14811	2	3
ruditapes_c14812	1	2
ruditapes_c14813	0	1
ruditapes_c14814	1	0
ruditapes_c14815	0	1
ruditapes_c14816	0	0
ruditapes_c14817	1	5
ruditapes_c14818	0	0
ruditapes_c14819	17	15
ruditapes_c14820	0	0
ruditapes_c14821	1	3
ruditapes_c14822	0	0
ruditapes_c14823	0	1
ruditapes_c14824	3	5
ruditapes_c14826	1	0
ruditapes_c14827	0	0
ruditapes_c14828	0	0
ruditapes_c14829	0	0
ruditapes_c14830	0	2
ruditapes_c14831	1	3
ruditapes_c14833	0	0
ruditapes_c14834	4	7
ruditapes_c14835	1	3
ruditapes_c14836	0	0
ruditapes_c14837	10	7
ruditapes_c14838	2	2
ruditapes_c14839	14	23
ruditapes_c14841	0	0
ruditapes_c14842	0	0
ruditapes_c14843	4	5
ruditapes_c14844	3	6
ruditapes_c14845	0	0
ruditapes_c14846	13	19
ruditapes_c14847	0	0
ruditapes_c14849	0	0
ruditapes_c14851	2	5
ruditapes_c14852	0	0
ruditapes_c14855	1	2
ruditapes_c14857	2	1
ruditapes_c14859	0	0
ruditapes_c14860	0	1
ruditapes_c14862	0	1
ruditapes_c14863	2	4
ruditapes_c14864	0	0
ruditapes_c14865	3	4
ruditapes_c14866	0	0
ruditapes_c14868	0	0
ruditapes_c14869	0	0
ruditapes_c14871	0	1
ruditapes_c14872	5	14
ruditapes_c14874	0	0
ruditapes_c14875	2	2
ruditapes_c14877	0	0
ruditapes_c14878	0	0
ruditapes_c14879	0	0
ruditapes_c14880	4	6
ruditapes_c14881	13	16
ruditapes_c14882	17	12
ruditapes_c14883	0	0
ruditapes_c14884	0	0
ruditapes_c14885	1	1
ruditapes_c14886	2	7
ruditapes_c14887	0	2
ruditapes_c14889	2	4
ruditapes_c14892	7	7
ruditapes_c14894	1	1
ruditapes_c14896	1	0
ruditapes_c14898	1	1
ruditapes_c14899	1	1
ruditapes_c14900	9	18
