Contig	BARN	MASH
Mmercenaria_contig_1277	230	432
Mmercenaria_contig_1278	317	264
Mmercenaria_contig_1279	215	262
Mmercenaria_contig_128	35	32
Mmercenaria_contig_1280	378	296
Mmercenaria_contig_1281	156	122
Mmercenaria_contig_1282	336	203
Mmercenaria_contig_1283	144	136
Mmercenaria_contig_1284	301	142
Mmercenaria_contig_1285	188	172
Mmercenaria_contig_1286	231	132
Mmercenaria_contig_1287	427	220
Mmercenaria_contig_1288	274	230
Mmercenaria_contig_1289	198	148
Mmercenaria_contig_129	259	188
Mmercenaria_contig_1290	601	440
Mmercenaria_contig_1291	148	99
Mmercenaria_contig_1292	479	384
Mmercenaria_contig_1293	181	129
Mmercenaria_contig_1294	94	68
Mmercenaria_contig_1295	248	94
Mmercenaria_contig_1296	287	180
Mmercenaria_contig_1297	263	335
Mmercenaria_contig_1298	98	67
Mmercenaria_contig_1299	186	238
Mmercenaria_contig_13	272	228
Mmercenaria_contig_130	159	112
Mmercenaria_contig_1300	101	173
Mmercenaria_contig_1301	201	194
Mmercenaria_contig_1302	382	262
Mmercenaria_contig_1303	309	312
Mmercenaria_contig_1304	52	48
Mmercenaria_contig_1305	125	90
Mmercenaria_contig_1306	70	33
Mmercenaria_contig_1307	401	358
Mmercenaria_contig_1308	127	95
Mmercenaria_contig_1309	107	184
Mmercenaria_contig_131	715	292
Mmercenaria_contig_1310	350	280
Mmercenaria_contig_1311	134	85
Mmercenaria_contig_1312	555	368
Mmercenaria_contig_1313	46	87
Mmercenaria_contig_1314	433	331
Mmercenaria_contig_1315	225	149
Mmercenaria_contig_1316	302	275
Mmercenaria_contig_1317	184	291
Mmercenaria_contig_1318	738	389
Mmercenaria_contig_1319	571	531
Mmercenaria_contig_132	107	122
Mmercenaria_contig_1320	178	125
Mmercenaria_contig_1321	150	92
Mmercenaria_contig_1322	170	144
Mmercenaria_contig_1323	359	237
Mmercenaria_contig_1324	1535	1008
Mmercenaria_contig_1325	34	46
Mmercenaria_contig_1326	411	122
Mmercenaria_contig_1327	129	168
Mmercenaria_contig_1328	202	134
Mmercenaria_contig_1329	536	378
Mmercenaria_contig_133	148	85
Mmercenaria_contig_1330	282	309
Mmercenaria_contig_1331	322	267
Mmercenaria_contig_1332	406	256
Mmercenaria_contig_1333	598	288
Mmercenaria_contig_1334	273	194
Mmercenaria_contig_1335	300	184
Mmercenaria_contig_1336	227	106
Mmercenaria_contig_1337	161	53
Mmercenaria_contig_1338	84	107
Mmercenaria_contig_1339	186	106
Mmercenaria_contig_134	36	42
Mmercenaria_contig_1340	72	65
Mmercenaria_contig_1341	394	232
Mmercenaria_contig_1342	250	183
Mmercenaria_contig_1343	168	149
Mmercenaria_contig_1344	486	318
Mmercenaria_contig_1345	67	39
Mmercenaria_contig_1346	234	170
Mmercenaria_contig_1347	711	644
Mmercenaria_contig_1348	361	164
Mmercenaria_contig_1349	205	149
Mmercenaria_contig_135	85	66
Mmercenaria_contig_1350	127	75
Mmercenaria_contig_1351	141	74
Mmercenaria_contig_1352	172	188
Mmercenaria_contig_1353	377	333
Mmercenaria_contig_1354	106	122
Mmercenaria_contig_1355	56	56
Mmercenaria_contig_1356	22	18
Mmercenaria_contig_1357	171	146
Mmercenaria_contig_1358	356	91
Mmercenaria_contig_1359	565	360
Mmercenaria_contig_136	122	123
Mmercenaria_contig_1360	222	219
Mmercenaria_contig_1361	1521	1058
Mmercenaria_contig_1362	64	28
Mmercenaria_contig_1363	144	70
Mmercenaria_contig_1364	92	76
Mmercenaria_contig_1365	188	253
Mmercenaria_contig_1366	20	800
Mmercenaria_contig_1367	560	386
Mmercenaria_contig_1368	134	95
Mmercenaria_contig_1369	107	97
Mmercenaria_contig_137	172	49
Mmercenaria_contig_1370	239	339
Mmercenaria_contig_1371	494	264
Mmercenaria_contig_1372	242	154
Mmercenaria_contig_1373	154	57
Mmercenaria_contig_1374	43	35
Mmercenaria_contig_1375	1123	908
Mmercenaria_contig_1376	448	301
Mmercenaria_contig_1377	340	249
Mmercenaria_contig_1378	248	157
Mmercenaria_contig_1379	107	121
Mmercenaria_contig_138	112	61
Mmercenaria_contig_1380	81	31
Mmercenaria_contig_1381	340	359
Mmercenaria_contig_1382	139	89
Mmercenaria_contig_1383	290	157
Mmercenaria_contig_1384	51	114
Mmercenaria_contig_1385	350	287
Mmercenaria_contig_1386	460	308
Mmercenaria_contig_1387	25	7
Mmercenaria_contig_1388	83	68
Mmercenaria_contig_1389	96	83
Mmercenaria_contig_139	114	103
Mmercenaria_contig_1390	1312	819
Mmercenaria_contig_1391	170	131
Mmercenaria_contig_1392	285	212
Mmercenaria_contig_1393	79	36
Mmercenaria_contig_1394	866	436
Mmercenaria_contig_1395	190	149
Mmercenaria_contig_1396	161	103
Mmercenaria_contig_1397	805	594
Mmercenaria_contig_1398	111	261
Mmercenaria_contig_1399	180	104
Mmercenaria_contig_14	58	49
Mmercenaria_contig_140	77	48
Mmercenaria_contig_1400	131	162
Mmercenaria_contig_1401	508	500
Mmercenaria_contig_1402	133	130
Mmercenaria_contig_1403	381	296
Mmercenaria_contig_1404	203	98
Mmercenaria_contig_1405	218	125
Mmercenaria_contig_1406	107	103
Mmercenaria_contig_1407	151	112
Mmercenaria_contig_1408	157	131
Mmercenaria_contig_1409	174	130
Mmercenaria_contig_141	107	82
Mmercenaria_contig_1410	197	142
Mmercenaria_contig_1411	439	408
Mmercenaria_contig_1412	367	759
Mmercenaria_contig_1413	300	167
Mmercenaria_contig_1414	103	110
Mmercenaria_contig_1415	19	73
Mmercenaria_contig_1416	45	201
Mmercenaria_contig_1417	118	85
Mmercenaria_contig_1418	773	396
Mmercenaria_contig_1419	92	229
Mmercenaria_contig_142	88	53
Mmercenaria_contig_1420	213	147
Mmercenaria_contig_1421	528	306
Mmercenaria_contig_1422	53	90
Mmercenaria_contig_1423	56	48
Mmercenaria_contig_1424	173	128
Mmercenaria_contig_1425	428	433
Mmercenaria_contig_1426	225	160
Mmercenaria_contig_1427	83	73
Mmercenaria_contig_1428	907	608
Mmercenaria_contig_1429	360	287
Mmercenaria_contig_143	44	100
Mmercenaria_contig_1430	275	280
Mmercenaria_contig_1431	49	31
Mmercenaria_contig_1432	308	369
Mmercenaria_contig_1433	17	47
Mmercenaria_contig_1434	89	14
Mmercenaria_contig_1435	44	45
Mmercenaria_contig_1436	392	240
Mmercenaria_contig_1437	475	209
Mmercenaria_contig_1438	333	307
Mmercenaria_contig_1439	342	204
Mmercenaria_contig_144	124	99
Mmercenaria_contig_1440	115	140
Mmercenaria_contig_1441	341	608
Mmercenaria_contig_1442	66	107
Mmercenaria_contig_1443	510	353
Mmercenaria_contig_1444	193	126
Mmercenaria_contig_1445	662	426
Mmercenaria_contig_1446	63	51
Mmercenaria_contig_1447	535	180
Mmercenaria_contig_1448	273	208
Mmercenaria_contig_1449	295	201
Mmercenaria_contig_145	136	90
Mmercenaria_contig_1450	161	116
Mmercenaria_contig_1451	204	170
Mmercenaria_contig_1452	216	170
Mmercenaria_contig_1453	361	260
Mmercenaria_contig_1454	109	116
Mmercenaria_contig_1455	112	21
Mmercenaria_contig_1456	551	429
Mmercenaria_contig_1457	101	82
Mmercenaria_contig_1458	121	52
Mmercenaria_contig_1459	351	193
Mmercenaria_contig_146	55	61
Mmercenaria_contig_1460	227	239
Mmercenaria_contig_1461	111	95
Mmercenaria_contig_1462	239	215
Mmercenaria_contig_1463	46	99
Mmercenaria_contig_1464	340	249
Mmercenaria_contig_1465	173	59
Mmercenaria_contig_1466	191	140
Mmercenaria_contig_1467	66	35
Mmercenaria_contig_1468	533	375
Mmercenaria_contig_1469	40	39
Mmercenaria_contig_147	120	92
Mmercenaria_contig_1470	45	48
Mmercenaria_contig_1471	200	134
Mmercenaria_contig_1472	199	159
Mmercenaria_contig_1473	1345	925
Mmercenaria_contig_1474	95	99
Mmercenaria_contig_1475	210	75
Mmercenaria_contig_1476	113	64
Mmercenaria_contig_1477	317	379
Mmercenaria_contig_1478	131	180
Mmercenaria_contig_1479	148	80
Mmercenaria_contig_148	360	282
Mmercenaria_contig_1480	99	111
Mmercenaria_contig_1481	128	76
Mmercenaria_contig_1482	240	251
Mmercenaria_contig_1483	186	206
Mmercenaria_contig_1484	294	239
Mmercenaria_contig_1485	359	328
Mmercenaria_contig_1486	93	29
Mmercenaria_contig_1487	3	255
Mmercenaria_contig_1488	130	95
Mmercenaria_contig_1489	190	170
Mmercenaria_contig_149	135	118
Mmercenaria_contig_1490	211	158
Mmercenaria_contig_1491	111	101
Mmercenaria_contig_1492	91	90
Mmercenaria_contig_1493	52	59
Mmercenaria_contig_1494	90	161
Mmercenaria_contig_1495	353	391
Mmercenaria_contig_1496	136	139
Mmercenaria_contig_1497	52	36
Mmercenaria_contig_1498	146	140
Mmercenaria_contig_1499	217	209
Mmercenaria_contig_15	123	152
Mmercenaria_contig_150	83	67
Mmercenaria_contig_1500	158	120
Mmercenaria_contig_1501	173	123
Mmercenaria_contig_1502	248	181
Mmercenaria_contig_1503	127	160
Mmercenaria_contig_1504	822	5
Mmercenaria_contig_1505	46	46
Mmercenaria_contig_1506	380	357
Mmercenaria_contig_1507	237	191
Mmercenaria_contig_1508	315	239
Mmercenaria_contig_1509	216	138
Mmercenaria_contig_151	299	210
Mmercenaria_contig_1510	210	124
Mmercenaria_contig_1511	240	160
Mmercenaria_contig_1512	117	61
Mmercenaria_contig_1513	232	177
Mmercenaria_contig_1514	113	123
Mmercenaria_contig_1515	713	371
Mmercenaria_contig_1516	354	333
Mmercenaria_contig_1517	53	79
Mmercenaria_contig_1518	194	122
