Contig	Lean 	Siscowet 
Snamaycush_0317	44379	35282
Snamaycush_0318	3	1
Snamaycush_0319	40	29
Snamaycush_0320	2	1
Snamaycush_0321	130	103
Snamaycush_0322	0	0
Snamaycush_0323	2	4
Snamaycush_0324	1	0
Snamaycush_0325	2	4
Snamaycush_0326	541	396
Snamaycush_0327	10	27
Snamaycush_0328	5	1
Snamaycush_0329	64	59
Snamaycush_0330	22	15
Snamaycush_0331	1	0
Snamaycush_0332	27	22
Snamaycush_0333	8	2
Snamaycush_0334	2	2
Snamaycush_0335	4	4
Snamaycush_0336	129	90
Snamaycush_0337	254	215
Snamaycush_0338	0	0
Snamaycush_0339	152	96
Snamaycush_0340	1	0
Snamaycush_0341	4	3
Snamaycush_0342	6	8
Snamaycush_0343	224	135
Snamaycush_0344	12	8
Snamaycush_0345	9	9
Snamaycush_0346	45	23
Snamaycush_0347	67	41
Snamaycush_0348	21	13
Snamaycush_0349	6	8
Snamaycush_0350	163	150
Snamaycush_0351	10	12
Snamaycush_0352	18	19
Snamaycush_0353	20	10
Snamaycush_0354	600	463
Snamaycush_0355	0	0
Snamaycush_0356	63	48
Snamaycush_0357	77	108
Snamaycush_0358	3	3
Snamaycush_0359	11	5
Snamaycush_0360	115	91
Snamaycush_0361	3	1
Snamaycush_0362	12	9
Snamaycush_0363	1	0
Snamaycush_0364	17	14
Snamaycush_0365	7	6
Snamaycush_0366	15	17
Snamaycush_0367	11	17
Snamaycush_0368	0	2
Snamaycush_0369	989	738
Snamaycush_0370	51	50
Snamaycush_0371	78	62
Snamaycush_0372	22	20
Snamaycush_0373	0	0
Snamaycush_0374	0	0
Snamaycush_0375	1	1
Snamaycush_0376	2	1
Snamaycush_0377	5	8
Snamaycush_0378	2	1
Snamaycush_0379	174	136
Snamaycush_0380	122	66
Snamaycush_0381	10	4
Snamaycush_0382	154	95
Snamaycush_0383	0	0
Snamaycush_0384	0	0
Snamaycush_0385	64	69
Snamaycush_0386	434	385
Snamaycush_0387	194	333
Snamaycush_0388	365	244
Snamaycush_0389	0	1
Snamaycush_0390	25	14
Snamaycush_0391	1	1
Snamaycush_0392	0	0
Snamaycush_0393	3	1
Snamaycush_0394	2	2
Snamaycush_0395	65	58
Snamaycush_0396	96	88
Snamaycush_0397	12	10
Snamaycush_0398	24	16
Snamaycush_0399	13	20
Snamaycush_0400	5	5
Snamaycush_0401	17	4
Snamaycush_0402	43	42
Snamaycush_0403	17	14
Snamaycush_0404	0	1
Snamaycush_0405	66	39
Snamaycush_0406	18	17
Snamaycush_0407	186	210
Snamaycush_0408	4	5
Snamaycush_0409	5	3
Snamaycush_0410	13	11
Snamaycush_0411	1	3
Snamaycush_0412	612	482
Snamaycush_0413	9	11
Snamaycush_0414	2	0
Snamaycush_0415	10	13
Snamaycush_0416	2	3
Snamaycush_0417	1	0
Snamaycush_0418	431	326
Snamaycush_0419	3	4
Snamaycush_0420	166	105
Snamaycush_0421	94	81
Snamaycush_0422	42	67
Snamaycush_0423	7	5
Snamaycush_0424	29	25
Snamaycush_0425	8	8
Snamaycush_0426	3689	2594
Snamaycush_0427	18	19
Snamaycush_0428	7	4
Snamaycush_0429	49	68
Snamaycush_0430	0	1
Snamaycush_0431	2931	2525
Snamaycush_0432	1061	845
Snamaycush_0433	2	5
Snamaycush_0434	958	652
Snamaycush_0435	112	102
Snamaycush_0436	0	1
Snamaycush_0437	105	90
Snamaycush_0438	11	14
Snamaycush_0439	2	5
Snamaycush_0440	42	19
Snamaycush_0441	16	8
Snamaycush_0442	1	3
Snamaycush_0443	5	6
Snamaycush_0444	31	24
Snamaycush_0445	25	18
Snamaycush_0446	335	325
Snamaycush_0447	1	0
Snamaycush_0448	12	5
Snamaycush_0449	0	2
Snamaycush_0450	3	3
Snamaycush_0451	1902	1309
Snamaycush_0452	80	74
Snamaycush_0453	14	14
Snamaycush_0454	259	229
Snamaycush_0455	328	6355
Snamaycush_0456	6	4
Snamaycush_0457	8	3
Snamaycush_0458	45	104
Snamaycush_0459	28	23
Snamaycush_0460	3966	2928
Snamaycush_0461	8	0
Snamaycush_0462	1358	1232
Snamaycush_0463	42	36
Snamaycush_0464	6	4
Snamaycush_0465	38	27
Snamaycush_0466	128	114
Snamaycush_0467	1610	484
Snamaycush_0468	110	86
Snamaycush_0469	3	2
Snamaycush_0470	4	3
Snamaycush_0471	255	225
Snamaycush_0472	12	18
Snamaycush_0473	111	79
Snamaycush_0474	80	49
Snamaycush_0475	71	41
Snamaycush_0476	3	1
Snamaycush_0477	5	4
Snamaycush_0478	0	0
Snamaycush_0479	14	16
Snamaycush_0480	128	201
Snamaycush_0481	225	194
Snamaycush_0482	1	1
Snamaycush_0483	6	3
Snamaycush_0484	0	0
Snamaycush_0485	66	43
Snamaycush_0486	13	19
Snamaycush_0487	4	5
Snamaycush_0488	4	10
Snamaycush_0489	0	1
Snamaycush_0490	52	37
Snamaycush_0491	364	680
Snamaycush_0492	4	3
Snamaycush_0493	0	5
Snamaycush_0494	18	16
Snamaycush_0495	37	32
Snamaycush_0496	55	31
Snamaycush_0497	15	11
Snamaycush_0498	16	16
Snamaycush_0499	83	82
Snamaycush_0500	2	2
Snamaycush_0501	11	13
Snamaycush_0502	432	297
Snamaycush_0503	19	4
Snamaycush_0504	10	3
Snamaycush_0505	11075	11319
Snamaycush_0506	379	286
Snamaycush_0507	194	150
Snamaycush_0508	30	53
Snamaycush_0509	10	3
Snamaycush_0510	45	33
Snamaycush_0511	307	226
Snamaycush_0512	2	2
Snamaycush_0513	16	6
Snamaycush_0514	0	0
Snamaycush_0515	11	9
Snamaycush_0516	87	80
Snamaycush_0517	0	1
Snamaycush_0518	183	122
Snamaycush_0519	1	2
Snamaycush_0520	56	40
Snamaycush_0521	1	0
Snamaycush_0522	7	8
Snamaycush_0523	12	9
Snamaycush_0524	26	20
Snamaycush_0525	12	8
Snamaycush_0526	7	15
Snamaycush_0527	3	2
Snamaycush_0528	15	12
Snamaycush_0529	36	31
Snamaycush_0530	35	24
Snamaycush_0531	16	11
Snamaycush_0532	130	94
Snamaycush_0533	10	14
Snamaycush_0534	0	0
Snamaycush_0535	18	24
Snamaycush_0536	8	3
Snamaycush_0537	8	3
Snamaycush_0538	72	62
Snamaycush_0539	0	1
Snamaycush_0540	1	2
Snamaycush_0541	8	6
Snamaycush_0542	96	63
Snamaycush_0543	1	2
Snamaycush_0544	162	113
Snamaycush_0545	1	2
Snamaycush_0546	20	17
Snamaycush_0547	26	23
Snamaycush_0548	0	1
Snamaycush_0549	19	23
Snamaycush_0550	4	0
Snamaycush_0551	0	0
Snamaycush_0552	234	119
Snamaycush_0553	82	55
Snamaycush_0554	640	575
Snamaycush_0555	0	0
Snamaycush_0556	12	14
Snamaycush_0557	1	1
Snamaycush_0558	70	32
Snamaycush_0559	67	50
