"id"	"baseMean"	"baseMeanA"	"baseMeanB"	"foldChange"	"log2FoldChange"	"pval"	"padj"
"ruditapes_c22852"	5.92429086239207	6.23609564462323	5.61248608016091	0.9	-0.15200309344505	1	1
"ruditapes_c22853"	0	0	0	NA	NA	NA	NA
"ruditapes_c22854"	2.04900285466192	2.49443825784929	1.60356745147455	0.642857142857143	-0.637429920615292	1	1
"ruditapes_c22855"	6.94879228972303	7.48331477354788	6.41426980589818	0.857142857142857	-0.222392421336448	0.994463461090327	1
"ruditapes_c22856"	0	0	0	NA	NA	NA	NA
"ruditapes_c22857"	1.02450142733096	1.24721912892465	0.801783725737273	0.642857142857143	-0.637429920615292	1	1
"ruditapes_c22858"	1.4253932901996	1.24721912892465	1.60356745147455	1.28571428571429	0.362570079384708	1	1
"ruditapes_c22859"	0	0	0	NA	NA	NA	NA
"ruditapes_c22860"	0	0	0	NA	NA	NA	NA
"ruditapes_c22864"	0	0	0	NA	NA	NA	NA
"ruditapes_c22865"	0.400891862868636	0	0.801783725737273	Inf	Inf	1	1
"ruditapes_c22866"	0	0	0	NA	NA	NA	NA
"ruditapes_c22867"	0	0	0	NA	NA	NA	NA
"ruditapes_c22868"	0	0	0	NA	NA	NA	NA
"ruditapes_c22869"	0	0	0	NA	NA	NA	NA
"ruditapes_c2287"	0	0	0	NA	NA	NA	NA
"ruditapes_c22870"	6.14700856398576	7.48331477354788	4.81070235442364	0.642857142857143	-0.637429920615292	0.812943118715833	1
"ruditapes_c22871"	0	0	0	NA	NA	NA	NA
"ruditapes_c22872"	0	0	0	NA	NA	NA	NA
"ruditapes_c22873"	1.82628515306823	1.24721912892465	2.40535117721182	1.92857142857143	0.947532580105864	0.98821490147066	1
"ruditapes_c22874"	12.4276477489277	11.2249721603218	13.6303233375336	1.21428571428571	0.280107919192735	0.918795558970738	1
"ruditapes_c22877"	1.02450142733096	1.24721912892465	0.801783725737273	0.642857142857143	-0.637429920615292	1	1
"ruditapes_c22878"	0	0	0	NA	NA	NA	NA
"ruditapes_c22879"	5.74611670111712	7.48331477354788	4.00891862868636	0.535714285714286	-0.900464326449086	0.709667928753707	1
"ruditapes_c22880"	3.87528800773015	3.74165738677394	4.00891862868636	1.07142857142857	0.0995356735509144	1	1
"ruditapes_c22881"	8.37418557992263	8.73053390247253	8.01783725737273	0.918367346938775	-0.122856747785534	1	1
"ruditapes_c22882"	1.02450142733096	1.24721912892465	0.801783725737273	0.642857142857143	-0.637429920615292	1	1
"ruditapes_c22883"	1.4253932901996	1.24721912892465	1.60356745147455	1.28571428571429	0.362570079384708	1	1
